date,cash,shares,close_price,equity,signal,signal_source
2020-01-02,1000000.0,0,55200.0,1000000.0,HOLD,
2020-01-03,1000000.0,0,55500.0,1000000.0,HOLD,
2020-01-06,1000000.0,0,55500.0,1000000.0,HOLD,
2020-01-07,1000000.0,0,55800.0,1000000.0,HOLD,
2020-01-08,1000000.0,0,56800.0,1000000.0,HOLD,
2020-01-09,1000000.0,0,58600.0,1000000.0,HOLD,
2020-01-10,1000000.0,0,59500.0,1000000.0,HOLD,
2020-01-13,1000000.0,0,60000.0,1000000.0,HOLD,
2020-01-14,1000000.0,0,60000.0,1000000.0,HOLD,
2020-01-15,1000000.0,0,59000.0,1000000.0,HOLD,
2020-01-16,1000000.0,0,60700.0,1000000.0,HOLD,
2020-01-17,1000000.0,0,61300.0,1000000.0,HOLD,
2020-01-20,1000000.0,0,62400.0,1000000.0,HOLD,
2020-01-21,1000000.0,0,61400.0,1000000.0,HOLD,
2020-01-22,1000000.0,0,62300.0,1000000.0,HOLD,
2020-01-23,1000000.0,0,60800.0,1000000.0,HOLD,
2020-01-28,1000000.0,0,58800.0,1000000.0,HOLD,
2020-01-29,1000000.0,0,59100.0,1000000.0,HOLD,
2020-01-30,1000000.0,0,57200.0,1000000.0,HOLD,
2020-01-31,1000000.0,0,56400.0,1000000.0,HOLD,
2020-02-03,1000000.0,0,57200.0,1000000.0,HOLD,
2020-02-04,1000000.0,0,58900.0,1000000.0,HOLD,
2020-02-05,1000000.0,0,59500.0,1000000.0,HOLD,
2020-02-06,1000000.0,0,61100.0,1000000.0,HOLD,
2020-02-07,1000000.0,0,60400.0,1000000.0,HOLD,
2020-02-10,1000000.0,0,59700.0,1000000.0,HOLD,
2020-02-11,1000000.0,0,59900.0,1000000.0,HOLD,
2020-02-12,1000000.0,0,60500.0,1000000.0,HOLD,
2020-02-13,1000000.0,0,60700.0,1000000.0,HOLD,
2020-02-14,1000000.0,0,61800.0,1000000.0,HOLD,
2020-02-17,1000000.0,0,61500.0,1000000.0,HOLD,
2020-02-18,1000000.0,0,59800.0,1000000.0,HOLD,
2020-02-19,1000000.0,0,60200.0,1000000.0,HOLD,
2020-02-20,1000000.0,0,60000.0,1000000.0,HOLD,
2020-02-21,1000000.0,0,59200.0,1000000.0,HOLD,
2020-02-24,1000000.0,0,56800.0,1000000.0,HOLD,
2020-02-25,1000000.0,0,57900.0,1000000.0,HOLD,
2020-02-26,1000000.0,0,56500.0,1000000.0,HOLD,
2020-02-27,1000000.0,0,55900.0,1000000.0,HOLD,
2020-02-28,1000000.0,0,54200.0,1000000.0,HOLD,
2020-03-02,1000000.0,0,55000.0,1000000.0,HOLD,
2020-03-03,1000000.0,0,55400.0,1000000.0,HOLD,
2020-03-04,1000000.0,0,57400.0,1000000.0,HOLD,
2020-03-05,1000000.0,0,57800.0,1000000.0,HOLD,
2020-03-06,1000000.0,0,56500.0,1000000.0,HOLD,
2020-03-09,1000000.0,0,56500.0,1000000.0,HOLD,
2020-03-10,1000000.0,0,54600.0,1000000.0,HOLD,
2020-03-11,1000000.0,0,52100.0,1000000.0,HOLD,
2020-03-12,1000000.0,0,52100.0,1000000.0,HOLD,
2020-03-13,1000000.0,0,49950.0,1000000.0,HOLD,
2020-03-16,1000000.0,0,48900.0,1000000.0,HOLD,
2020-03-17,1000000.0,0,47300.0,1000000.0,HOLD,
2020-03-18,1000000.0,0,45600.0,1000000.0,HOLD,
2020-03-19,1000000.0,0,42950.0,1000000.0,HOLD,
2020-03-20,1000000.0,0,45400.0,1000000.0,HOLD,
2020-03-23,1000000.0,0,42500.0,1000000.0,HOLD,
2020-03-24,1000000.0,0,46950.0,1000000.0,HOLD,
2020-03-25,1000000.0,0,48650.0,1000000.0,HOLD,
2020-03-26,1000000.0,0,47800.0,1000000.0,HOLD,
2020-03-27,1000000.0,0,48300.0,1000000.0,HOLD,
2020-03-30,1000000.0,0,47850.0,1000000.0,SELL,-5576.666666666664
2020-03-31,1000000.0,0,47750.0,1000000.0,SELL,-5811.666666666664
2020-04-01,1000000.0,0,45800.0,1000000.0,SELL,-6065.0
2020-04-02,1000000.0,0,46800.0,1000000.0,SELL,-6483.333333333336
2020-04-03,1000000.0,0,47000.0,1000000.0,SELL,-6883.333333333336
2020-04-06,1000000.0,0,48700.0,1000000.0,SELL,-7195.0
2020-04-07,1000000.0,0,49600.0,1000000.0,SELL,-7420.0
2020-04-08,1000000.0,0,48600.0,1000000.0,SELL,-7505.0
2020-04-09,1000000.0,0,49100.0,1000000.0,SELL,-7490.0
2020-04-10,1000000.0,0,49250.0,1000000.0,SELL,-7458.333333333336
2020-04-13,1000000.0,0,48300.0,1000000.0,SELL,-7330.833333333336
2020-04-14,1000000.0,0,49000.0,1000000.0,SELL,-7154.166666666664
2020-04-16,1000000.0,0,49000.0,1000000.0,SELL,-6864.166666666664
2020-04-17,1000000.0,0,51400.0,1000000.0,SELL,-6470.833333333336
2020-04-20,1000000.0,0,50100.0,1000000.0,SELL,-5881.666666666664
2020-04-21,1000000.0,0,49250.0,1000000.0,SELL,-5443.333333333336
2020-04-22,1000000.0,0,49850.0,1000000.0,SELL,-4913.333333333336
2020-04-23,1000000.0,0,49850.0,1000000.0,SELL,-4619.166666666664
2020-04-24,1000000.0,0,49350.0,1000000.0,SELL,-4405.0
2020-04-27,1000000.0,0,49850.0,1000000.0,SELL,-4196.666666666664
2020-04-28,1000000.0,0,50100.0,1000000.0,SELL,-4010.0
2020-04-29,1000000.0,0,50000.0,1000000.0,SELL,-3779.1666666666642
2020-05-04,1000000.0,0,48500.0,1000000.0,SELL,-3518.3333333333358
2020-05-06,1000000.0,0,49200.0,1000000.0,SELL,-3200.0
2020-05-07,1000000.0,0,48800.0,1000000.0,SELL,-2881.6666666666642
2020-05-08,1000000.0,0,48800.0,1000000.0,SELL,-2598.3333333333358
2020-05-11,1000000.0,0,48400.0,1000000.0,SELL,-2411.6666666666642
2020-05-12,1000000.0,0,47900.0,1000000.0,SELL,-2280.0
2020-05-13,1000000.0,0,48550.0,1000000.0,SELL,-2105.0
2020-05-14,1000000.0,0,48000.0,1000000.0,SELL,-1930.0
2020-05-15,1000000.0,0,47850.0,1000000.0,SELL,-1762.5
2020-05-18,1000000.0,0,48800.0,1000000.0,SELL,-1557.5
2020-05-19,1000000.0,0,50300.0,1000000.0,SELL,-1384.1666666666642
2020-05-20,1000000.0,0,50000.0,1000000.0,SELL,-1154.1666666666642
2020-05-21,1000000.0,0,49950.0,1000000.0,SELL,-1057.5
2020-05-22,1000000.0,0,48750.0,1000000.0,SELL,-910.8333333333358
2020-05-25,1000000.0,0,48850.0,1000000.0,SELL,-801.6666666666642
2020-05-26,1000000.0,0,49250.0,1000000.0,SELL,-700.8333333333358
2020-05-27,1000000.0,0,49900.0,1000000.0,SELL,-610.0
2020-05-28,1000000.0,0,50400.0,1000000.0,SELL,-482.5
2020-05-29,1000000.0,0,50700.0,1000000.0,SELL,-391.66666666666424
2020-06-01,1000000.0,0,51200.0,1000000.0,SELL,-290.0
2020-06-02,1000000.0,0,51400.0,1000000.0,SELL,-160.0
2020-06-03,15652.369999999995,19,54500.0,1051152.37,BUY,85.0
2020-06-04,15652.369999999995,19,54600.0,1053052.37,BUY,405.0
2020-06-05,15652.369999999995,19,55500.0,1070152.37,BUY,726.6666666666642
2020-06-08,15652.369999999995,19,54900.0,1058752.37,BUY,1078.3333333333358
2020-06-09,15652.369999999995,19,55500.0,1070152.37,BUY,1398.3333333333358
2020-06-10,15652.369999999995,19,55400.0,1068252.37,BUY,1721.6666666666642
2020-06-11,15652.369999999995,19,54300.0,1047352.37,BUY,2009.1666666666642
2020-06-12,15652.369999999995,19,52300.0,1009352.37,BUY,2251.6666666666642
2020-06-15,15652.369999999995,19,49900.0,963752.37,BUY,2417.5
2020-06-16,15652.369999999995,19,52100.0,1005552.37,BUY,2429.1666666666642
2020-06-17,15652.369999999995,19,52200.0,1007452.37,BUY,2410.8333333333358
2020-06-18,15652.369999999995,19,52300.0,1009352.37,BUY,2366.6666666666642
2020-06-19,15652.369999999995,19,52900.0,1020752.37,BUY,2369.1666666666642
2020-06-22,15652.369999999995,19,52000.0,1003652.37,BUY,2403.3333333333358
2020-06-23,15652.369999999995,19,51400.0,992252.37,BUY,2476.6666666666642
2020-06-24,15652.369999999995,19,52900.0,1020752.37,BUY,2538.3333333333358
2020-06-25,15652.369999999995,19,51900.0,1001752.37,BUY,2603.3333333333358
2020-06-26,15652.369999999995,19,53300.0,1028352.37,BUY,2618.3333333333358
2020-06-29,15652.369999999995,19,52400.0,1011252.37,BUY,2657.5
2020-06-30,15652.369999999995,19,52800.0,1018852.37,BUY,2640.0
2020-07-01,15652.369999999995,19,52600.0,1015052.37,BUY,2593.3333333333358
2020-07-02,15652.369999999995,19,52900.0,1020752.37,BUY,2401.6666666666642
2020-07-03,15652.369999999995,19,53600.0,1034052.37,BUY,2218.3333333333358
2020-07-06,15652.369999999995,19,55000.0,1060652.37,BUY,2041.6666666666642
2020-07-07,15652.369999999995,19,53400.0,1030252.37,BUY,1956.6666666666642
2020-07-08,15652.369999999995,19,53000.0,1022652.37,BUY,1771.6666666666642
2020-07-09,15652.369999999995,19,52800.0,1018852.37,BUY,1586.6666666666642
2020-07-10,15652.369999999995,19,52700.0,1016952.37,BUY,1452.5
2020-07-13,15652.369999999995,19,53400.0,1030252.37,BUY,1399.1666666666642
2020-07-14,15652.369999999995,19,53800.0,1037852.37,BUY,1500.8333333333358
2020-07-15,15652.369999999995,19,54700.0,1054952.37,BUY,1505.8333333333358
2020-07-16,15652.369999999995,19,53800.0,1037852.37,BUY,1575.8333333333358
2020-07-17,15652.369999999995,19,54400.0,1049252.37,BUY,1589.1666666666642
2020-07-20,15652.369999999995,19,54200.0,1045452.37,BUY,1578.3333333333358
2020-07-21,15652.369999999995,19,55300.0,1066352.37,BUY,1615.8333333333358
2020-07-22,15652.369999999995,19,54700.0,1054952.37,BUY,1720.0
2020-07-23,15652.369999999995,19,54100.0,1043552.37,BUY,1720.8333333333358
2020-07-24,15652.369999999995,19,54200.0,1045452.37,BUY,1760.0
2020-07-27,15652.369999999995,19,55600.0,1072052.37,BUY,1736.6666666666642
2020-07-28,15652.369999999995,19,58600.0,1129052.37,BUY,1803.3333333333358
2020-07-29,15652.369999999995,19,59000.0,1136652.37,BUY,1925.0
2020-07-30,15652.369999999995,19,59000.0,1136652.37,BUY,2081.6666666666642
2020-07-31,15652.369999999995,19,57900.0,1115752.37,BUY,2216.6666666666642
2020-08-03,15652.369999999995,19,56800.0,1094852.37,BUY,2280.0
2020-08-04,15652.369999999995,19,57300.0,1104352.37,BUY,2230.0
2020-08-05,15652.369999999995,19,56900.0,1096752.37,BUY,2268.3333333333358
2020-08-06,15652.369999999995,19,58000.0,1117652.37,BUY,2324.1666666666642
2020-08-07,15652.369999999995,19,57500.0,1108152.37,BUY,2417.5
2020-08-10,15652.369999999995,19,57800.0,1113852.37,BUY,2496.6666666666642
2020-08-11,15652.369999999995,19,58200.0,1121452.37,BUY,2566.6666666666642
2020-08-12,15652.369999999995,19,59000.0,1136652.37,BUY,2655.0
2020-08-13,15652.369999999995,19,58700.0,1130952.37,BUY,2720.0
